,folder,# records,eps (per record),avg func L2,avg approx err,avg priv err,avg priv loss,avg smooth err,avg smooth loss,avg approx time,avg priv time,avg smooth time,avg total runtime
0,00000,987,0.5,4227.416645637966,283.7143992130069,1692.7560084363106,1664.9088407299666,1649.5167245796488,1621.0096996283105,0.315862423984717,0.0038519610538550303,,0.33492519766122497
1,01000,1000,0.5,4196.633984385568,285.00232582990134,1693.7026011328962,1665.7879984240362,1650.578749383257,1622.0011635436767,0.3180823972225189,0.0038846671432256697,,0.3372997471839189
2,02000,998,0.5,4167.646958183916,281.1160729917824,1692.7197024475972,1665.7440214583696,1649.4665719308073,1621.8405062674829,0.31839900504133267,0.0038865775108815194,,0.3376055881530345
3,03000,995,0.5,4196.500586945298,283.3933495347751,1693.0783869800296,1665.3084148610626,1649.7603733792262,1621.3511526464188,0.31808239586988285,0.003885290655658473,,0.337273205539689
4,04000,1000,0.5,4040.150522137716,272.3056241415501,1692.1054623100788,1665.7857245586545,1648.399423461958,1621.4697776074859,0.3184749310016632,0.003879628300666809,,0.337651813223958
5,05000,999,0.5,4167.3242761124175,282.95752144418,1695.5969582521514,1665.580856078787,1652.9988661086186,1622.5131184719714,0.31849031715660364,0.00389189348445163,,0.3377408125886211
6,06000,1000,0.5,4020.2923656078447,276.73620743799023,1691.9901981484538,1665.0771811798975,1648.6017457912071,1621.0700096937012,0.3181565916538239,0.00387947815656662,,0.3373580613434315
7,07000,997,0.5,3975.5618367716893,277.3918841234108,1692.768138625597,1665.611487001364,1649.1431198039502,1621.3618137497185,0.3183894401328375,0.0038933367164826083,,0.3376393234478674
8,08000,1000,0.5,3926.9119311479017,270.86724393250677,1692.5107953881309,1665.3298652447788,1649.1347109213061,1621.404424466722,0.3185964901447296,0.0038821698427200318,,0.33781961375474934
9,09000,997,0.5,3940.3405240367993,274.90399796664036,1693.1195970664473,1666.1116527451823,1649.4858205945977,1621.8424002758984,0.31780558029412026,0.0038789219578864464,,0.3369833743470602
10,10000,1000,0.5,4101.5942634532375,279.5800815875479,1692.8961335361462,1666.0638827414411,1649.627065283092,1622.1564233852812,0.3181846923828125,0.0038800240606069567,,0.33739182496070863
11,11000,995,0.5,4117.278248867939,279.2346561874926,1693.2239048442616,1664.924811600732,1650.0321124511804,1621.1959882195056,0.3184222027285015,0.0038826279154974015,,0.3376304138096134
12,12000,1000,0.5,4126.671912249225,279.44207709587334,1693.9908244834257,1666.043297408174,1650.869045735331,1622.3499941402106,0.31816305804252626,0.003878853276371956,,0.33735963387787343
13,13000,995,0.5,4041.1134328228723,279.62783952805995,1693.7992746646958,1665.6800719963928,1650.7227258585021,1622.0161821398917,0.3180688347648736,0.0038759452613753888,,0.33723489329143985
14,14000,1000,0.5,4002.579682470809,272.80738462135565,1692.8781182514504,1665.905160237886,1649.363258995243,1621.8488491546375,0.3181063048839569,0.0038808040022850036,,0.33730560718476776
15,15000,999,0.5,3969.806837828258,279.19475533511627,1695.941143673636,1666.412079824309,1652.5131073560435,1622.4015448545479,0.318129391999574,0.003879031455433285,,0.33733013029153397
16,16000,1000,0.5,4196.156649645974,284.8897400006002,1694.804894278692,1665.3987685537027,1651.7622874235806,1621.711574150298,0.3180599527359009,0.0038826688677072525,,0.33724677088856697
17,17000,1000,0.5,4073.06418749401,279.903126334639,1693.9050328150508,1665.4460080831589,1650.7456490311513,1621.7058617142866,0.3178880243301392,0.0038813726007938384,,0.33708193866908553
18,18000,999,0.5,3931.4114980939926,273.89005687333616,1693.5247186406466,1665.574875545436,1650.2636177809495,1621.7931441755989,0.31780388763359,0.0038805373378463454,,0.3370056855785954
19,19000,1000,0.5,3858.363231958467,268.7447645668436,1693.9841708909653,1666.4841842777394,1650.3994520554024,1622.3976824585338,0.3178496971130371,0.003886342525482178,,0.33704324048757556
20,20000,1000,0.5,3778.7389649768024,273.02147133686225,1696.0272408291858,1665.86931059086,1652.7413865732017,1622.1654395446428,0.31794345474243163,0.0038815800547599795,,0.3371244064718485
21,21000,838,0.5,3917.0744856160377,283.32068759313745,1699.2274233149544,1665.838085264595,1656.8177503107067,1623.136073257183,0.3178676918753576,0.003879279769548084,,0.33705376863906383
