,name,total length of time,total eps,func L2,approx err,priv err,priv loss,smooth err,smooth loss,approx time,priv time,smooth time,total runtime
0,abboip,475200.0,1.0999999999999999,2986602.5294081774,178604.9099829595,354640.89912011445,301561.93193526694,494617.10093453876,452411.90789318166,1.3784871101379395,0.0008979290723800659,0.894224151968956,2.2736091911792755
1,abcoij,86400.0,0.2,11387.366197957117,2334.420595989667,4431.165990734187,3739.3935690825456,4454.100040249086,3740.46356135591,0.07151733338832855,6.020069122314453e-05,0.002595067024230957,0.07417260110378265
2,abdremlu,259200.0,0.6,4807311.561216996,151975.17533790003,291150.30626699957,245472.44534887426,744751.9564648024,727805.8073441181,0.69542296230793,0.0005743801593780518,0.9555587917566299,1.651556134223938
3,abgibo,561600.0,1.3,2086456.0563817425,251855.41205648467,459432.75260491564,377842.96371837525,847989.218754433,797568.8684258257,1.6403993517160416,0.0011664927005767822,1.2455881834030151,2.8871540278196335
4,abjoolaw,259200.0,0.6,5028367.516228345,108067.96036377476,233090.8993668948,204508.05954124173,327085.7614060853,305673.0099735067,0.761696919798851,0.0005517154932022095,0.7379637509584427,1.500212386250496
5,abmuyawm,604800.0,1.4000000000000001,5012566.654619216,270897.3653048538,576304.4133587152,504442.56768766115,861323.0524334848,814183.5795950865,1.764583021402359,0.001291722059249878,1.8654900044202805,3.6313647478818893
6,abniar,777600.0,1.8000000000000005,11660541.564702295,338039.85016209807,738071.1883160794,646955.6287728047,1227928.0238971838,1174801.514952339,2.2476846873760223,0.0016694813966751099,2.393515571951866,4.642869740724564
7,abnovkak,302400.0,0.7,4948372.404775424,99274.7924982518,195972.3494046223,166852.09571866135,488201.09907711024,474578.05028050044,0.6824222952127457,0.000516355037689209,0.5811740607023239,1.2641127109527588
8,abtyff,388800.0,0.8999999999999999,4776112.598516562,195061.12327214424,367305.7390102599,307176.2029987749,879136.7945448172,849419.7291360241,1.0979301780462265,0.000832676887512207,1.1054529547691345,2.2042158097028732
9,abwecnij,432000.0,0.9999999999999999,2950593.8639603555,198335.23304389394,374582.19795154023,311682.579890375,1780143.48828363,1752583.5875294947,1.2772057950496674,0.0008958578109741211,1.062393069267273,2.3404947221279144
10,acdiyito,86400.0,0.2,1875663.2799076978,40107.73105578207,74261.25059245127,61495.99838977128,135964.27249895447,129445.69366505847,0.25209878385066986,0.00018061697483062744,0.20924217998981476,0.46152158081531525
11,acduou,648000.0,1.5000000000000002,2034714.5047876246,275596.21204882854,554990.24282949,475968.137844219,813935.6719204446,758922.0816715056,1.9101594388484955,0.0013573914766311646,1.6418127566576004,3.553329586982727
12,acgerl,302400.0,0.7,2303008.7247671373,128598.55165219546,277100.12964868225,243187.70989381237,540556.6523401334,521923.31757520576,0.8478812426328659,0.0006496161222457886,0.8853572458028793,1.733888104557991
13,acitva,129600.0,0.30000000000000004,5670973.867873101,48464.525828871745,78509.52496925669,61449.312156678454,98883.78103099614,85405.88640746134,0.3859037011861801,0.0002586543560028076,0.15007197856903076,0.5362343341112137
14,acpegho,518400.0,1.2,4896341.288133685,210687.40079227672,428764.0224595338,368730.80214663135,667447.3146908805,629183.9971882598,1.5380901545286179,0.0010902434587478638,1.255101814866066,2.7942822128534317
15,acvebr,518400.0,1.2,2626186.145325941,182814.86354038905,364746.6614415193,309539.63839188876,525172.4556395911,487022.79239428637,1.4972299933433533,0.0010067224502563477,0.9854537397623062,2.483690455555916
16,adkavy,129600.0,0.30000000000000004,5310388.711730036,50085.163938749,97422.5156517051,81863.74578913541,154833.66401856559,146083.76922257995,0.38861845433712006,0.00026467442512512207,0.2591170519590378,0.648000180721283
17,adnerst,302400.0,0.7,2572501.6075600456,132949.85218427522,229054.33973359747,183862.16779445676,709036.6942120069,683428.2781407028,0.9083348214626312,0.0006158500909805298,0.5685861110687256,1.4775367826223373
18,adpaifo,518400.0,1.2,2092387.5603164216,204262.8660973758,390635.9871354498,327847.4655209008,540120.4914397658,490817.0393962377,1.5693684667348862,0.0010698437690734863,1.0387428849935532,2.609181195497513
19,aducrisi,518400.0,1.2,2806800.4225154105,229259.8874891659,437754.9579511555,368322.39092979766,657206.4063188087,606587.7822682996,1.5235640406608582,0.0010873228311538696,1.2564119696617126,2.7810633331537247
20,afmorc,216000.0,0.5,2465501.1358266277,83768.23539268211,177149.66983391246,153475.69518379247,269836.6634184666,254709.8308501059,0.627019613981247,0.00044830143451690674,0.5259968638420105,1.1534647792577744
21,afpansh,475200.0,1.0999999999999999,2246641.8014320354,195227.43978653383,448010.20960869495,399919.59865062044,753419.4508243792,721569.0439145829,1.4022613316774368,0.0010196715593338013,1.486957237124443,2.8902382403612137
