,name,func L2,priv err,priv time,smooth err,smooth time,total runtime
0,abboip,2986602.529408208,10288654.141381793,0.018050312995910645,8733269.929467222,0.003479108214378357,0.021529421210289
1,abcoij,11387.366197969848,1811999.1246128124,0.0032773762941360474,809161.7824446256,0.0006302297115325928,0.00390760600566864
2,abdremlu,4807311.561217478,5872551.349881952,0.008334770798683167,7757464.946015059,0.001611456274986267,0.009946227073669434
3,abgibo,2086456.056381533,11539343.959563648,0.019097521901130676,12367376.40325566,0.0036639273166656494,0.022761449217796326
4,abjoolaw,5028367.516228743,5268639.834554039,0.008979499340057373,5942632.665453347,0.0017104148864746094,0.010689914226531982
5,abmuyawm,5012566.654619189,13053981.73806554,0.021616145968437195,14577695.219989972,0.004164889454841614,0.02578103542327881
6,abniar,11660541.56470244,15882898.596314298,0.026806890964508057,15209964.572230544,0.005197867751121521,0.03200475871562958
7,abnovkak,4948372.404775512,6977894.227070056,0.010550305247306824,5722220.469650022,0.0020436346530914307,0.012593939900398254
8,abtyff,4776112.598516988,7589086.648306359,0.012673184275627136,8485440.966254214,0.00244942307472229,0.015122607350349426
9,abwecnij,2950593.8639600165,9433420.776904644,0.015573397278785706,10125621.506641597,0.00301554799079895,0.018588945269584656
10,acdiyito,1875663.27990679,1893605.1078236974,0.0028101056814193726,2072315.215068139,0.0005439966917037964,0.003354102373123169
11,acduou,2034714.504787471,13310281.10902039,0.022762715816497803,12797138.477051385,0.004412129521369934,0.027174845337867737
12,acgerl,2303008.7247667033,5985802.484379233,0.009793907403945923,5992331.950995577,0.0018976926803588867,0.01169160008430481
13,acitva,5670973.867873089,2579701.6544437837,0.0043802410364151,2575493.5819903025,0.0008506923913955688,0.005230933427810669
14,acpegho,4896341.288133755,10328859.608554885,0.018139541149139404,9460381.238363618,0.003497973084449768,0.021637514233589172
15,acvebr,2626186.1453251145,10919614.019271601,0.019098833203315735,8964461.180275774,0.0036775022745132446,0.02277633547782898
16,adkavy,5310388.711729841,2774840.587854727,0.0046918392181396484,3077881.088989689,0.0009030550718307495,0.005594894289970398
17,adnerst,2572501.607559462,6175262.811058765,0.010515838861465454,5889609.433416632,0.0020241588354110718,0.012539997696876526
18,adpaifo,2092387.5603166604,10427640.95655789,0.018282830715179443,9353715.500865743,0.003535151481628418,0.02181798219680786
19,aducrisi,2806800.422515321,11534301.855920643,0.017928048968315125,15074441.824565778,0.0034546703100204468,0.02138271927833557
20,afmorc,2465501.1358270333,4183490.574201982,0.00728723406791687,3801685.035179667,0.0014020651578903198,0.00868929922580719
21,afpansh,2246641.8014312848,10071287.781927602,0.017073094844818115,9541246.530726133,0.0032914578914642334,0.02036455273628235
22,afsfat,4013532.2029592576,13175919.736649197,0.020971909165382385,14420959.10502152,0.0040073394775390625,0.024979248642921448
23,afweka,7107594.544303576,11729281.69813941,0.019681423902511597,11943124.957221922,0.003811195492744446,0.023492619395256042
24,agcowktu,2496513.1820794153,7419593.231959709,0.01284480094909668,6565004.588695112,0.002491012215614319,0.015335813164710999
25,agdrea,4333532.500004127,11189930.478288962,0.016661450266838074,16530189.446612049,0.0032228976488113403,0.019884347915649414
26,aggjuo,2177821.300540907,10529089.416558413,0.01620618999004364,10874353.06947345,0.003126859664916992,0.019333049654960632
27,agivle,5936923.293313465,11234451.032917198,0.018845051527023315,11005019.048797771,0.0036512017250061035,0.02249625325202942
28,agjitfa,2971941.2052513757,12554517.052470498,0.021672263741493225,10977573.870852053,0.004194304347038269,0.025866568088531494
29,agsuec,1811007.0575631668,10049146.5605805,0.017287731170654297,8975538.267827118,0.0033428221940994263,0.020630553364753723
30,agvexpia,3333679.566933286,5395582.362723264,0.007303997874259949,7451558.7594427755,0.001416712999343872,0.00872071087360382
31,aichash,3701214.4821509696,3126522.3347401544,0.0041516125202178955,4051823.937210103,0.0008006095886230469,0.004952222108840942
32,aimidd,2160110.2789674583,5582116.758263515,0.00970931351184845,5574054.282777883,0.0018871426582336426,0.011596456170082092
33,ainplin,4942870.041729553,8877868.390835626,0.015207245945930481,8763965.744731069,0.002950817346572876,0.018158063292503357
34,aitpygg,9727044.5525845,11338146.972218176,0.018740519881248474,11484083.953932852,0.0036316663026809692,0.022372186183929443
35,aivtytan,5008330.827247719,13599378.12832548,0.02294577658176422,13450547.106848504,0.004385128617286682,0.027330905199050903
36,aiwalb,4128958.9740377907,6521258.103754076,0.009930342435836792,6745896.657543531,0.0019094198942184448,0.011839762330055237
37,ajixdo,2212291.493175668,5537267.72891675,0.009615495800971985,4467529.2245347835,0.0018655657768249512,0.011481061577796936
38,ajsips,2519682.078651383,13175167.245994672,0.021503418684005737,12518809.12081863,0.004168003797531128,0.025671422481536865
39,ajsnedsi,4679479.500689564,8702642.703443693,0.014724060893058777,9298345.274870293,0.0028454363346099854,0.017569497227668762
40,ajthof,5241849.694030637,9275069.306466106,0.015839651226997375,9107590.076472167,0.003049001097679138,0.018888652324676514
41,ajtreo,14173203.458894173,1038998.9854197372,0.0016656368970870972,1832689.5761322381,0.000323563814163208,0.001989200711250305
42,akgicjud,3069611.0825798637,15236958.350262284,0.026262611150741577,13946814.412282709,0.005086332559585571,0.03134894371032715
43,akvutvo,1638881.5213024598,8618923.03062975,0.015358194708824158,7022721.986142136,0.0029756873846054077,0.018333882093429565
44,akyeerbi,3762023.000990757,5802312.325184261,0.009663134813308716,7433099.390381674,0.0018630027770996094,0.011526137590408325
45,aldhidd,5813.448855623366,6650926.678755397,0.011649340391159058,4815592.18352713,0.002255752682685852,0.01390509307384491
46,alnihi,4876100.572993069,14480034.42746648,0.024708881974220276,14492213.315682458,0.004752323031425476,0.029461205005645752
47,alsheth,5796991.451561408,13292164.49388092,0.02192915976047516,17622865.910816483,0.004230275750160217,0.026159435510635376
48,amciuca,2362993.792661672,8226382.25387834,0.014029815793037415,7684779.001016789,0.0027161240577697754,0.01674593985080719
49,amknywr,3376230.2563284803,13579817.94746644,0.02117760479450226,14326532.352158904,0.004081293940544128,0.025258898735046387
50,amnurgji,1765701.6068313622,5413729.547484481,0.009129896759986877,5956112.252223137,0.0017661750316619873,0.010896071791648865
51,amvefarl,2328423.478267921,6407716.53231669,0.011088743805885315,6037767.826384822,0.002120882272720337,0.013209626078605652
52,amwibs,1494835.2005430518,10156916.883788606,0.017540663480758667,9981030.759262929,0.0033854544162750244,0.02092611789703369
53,ancedvab,5046912.239069768,3141977.9889536323,0.0057262033224105835,2590962.1312859184,0.0011007636785507202,0.006826967000961304
54,ancorjo,9970566.895061769,9450695.29454384,0.014754518866539001,15231829.35749894,0.0028314590454101562,0.017585977911949158
55,ancyclsu,6390903.279111139,11583237.648981547,0.019261807203292847,14965640.750935303,0.003709554672241211,0.022971361875534058
56,andyol,1543268.0890649625,12617858.559314623,0.020743295550346375,11093572.62105357,0.003993242979049683,0.024736538529396057
57,aniajcr,1412518.956216575,16502843.943239916,0.028942525386810303,14605014.41093398,0.0055283308029174805,0.03447085618972778
58,anidgib,4301188.956072956,16339586.123563072,0.027280762791633606,19239135.152665336,0.005262225866317749,0.032542988657951355
59,ankped,2323115.0169321285,4912737.478549135,0.008452445268630981,4376983.19566504,0.0016298890113830566,0.010082334280014038
60,ansyut,4722844.609506479,8378278.006377887,0.014005184173583984,8513377.342180194,0.0026963353157043457,0.01670151948928833
61,anucks,1341187.508443398,3475843.745577413,0.006084814667701721,2811700.872300546,0.0011624842882156372,0.007247298955917358
62,anupwr,2712232.535178287,3578932.2486531856,0.005612224340438843,4005538.4643498166,0.0010723620653152466,0.006684586405754089
63,apigcyd,2182928.1645338335,12747261.39531358,0.02253010869026184,11038156.729900831,0.00434325635433197,0.02687336504459381
