,folder,# records,eps (per record),avg func L2,avg approx err,avg priv err,avg priv loss,avg smooth err,avg smooth loss,avg approx time,avg priv time,avg smooth time,avg total runtime
0,00000,987,1.0,4227.416645637966,283.7143992130069,886.4349221558284,832.9353175418529,872.2636479486706,818.2868657146298,0.3162540858035875,0.003863945633565522,,0.3353094862738158
1,01000,1000,1.0,4196.633984385568,285.00232582990134,886.4053404259647,832.7032959312678,872.2872821637682,818.1096161328599,0.31818807816505434,0.0038977221250534057,,0.3373948686569929
2,02000,998,1.0,4167.646958183916,281.1160729917824,885.0307144688338,833.0397451986415,870.7493661345878,818.2530082471363,0.31891001656442464,0.003906136240533932,,0.3381497625388459
3,03000,995,1.0,4196.500586945298,283.3933495347751,885.9619858448942,832.6100222065996,871.6962359992813,817.9239416341685,0.31861547872648766,0.0039069490816125915,,0.3378974344412885
4,04000,1000,1.0,4040.150522137716,272.3056241415501,883.3899949480032,833.0832870123539,868.2633700062229,817.5219052115966,0.3191589555740356,0.003908483624458313,,0.33842915447056293
5,05000,999,1.0,4167.3242761124175,282.95752144418,889.2245146642554,832.7523467230999,875.5593496838616,819.3497426169869,0.3186695532755809,0.0039088749760264035,,0.3379607441964689
6,06000,1000,1.0,4020.2923656078447,276.73620743799023,884.2500726918834,832.7451049077354,869.4989611921258,817.5573275938501,0.31849252939224243,0.003904485285282135,,0.3377404965758324
7,07000,997,1.0,3975.5618367716893,277.3918841234108,884.988227247595,832.9734546351852,869.9965742551046,817.5752416872082,0.31890329865060574,0.0039039311730634484,,0.3381206884516875
8,08000,1000,1.0,3926.9119311479017,270.86724393250677,884.0841334732891,832.7420481658789,869.2638482028988,817.764548974524,0.31902124047279357,0.0039040531069040297,,0.33828322535753247
9,09000,997,1.0,3940.3405240367993,274.90399796664036,884.3618700970758,832.6977655020197,869.2311386533794,817.1031091853051,0.3185267431685774,0.0039069745222568035,,0.3377609780822379
10,10000,1000,1.0,4101.5942634532375,279.5800815875479,884.472984367434,832.787793781045,870.1030020534004,817.9410522600587,0.3192046437263489,0.003901537150144577,,0.3384476275742054
11,11000,995,1.0,4117.278248867939,279.2346561874926,886.5790492071328,832.9732972867404,872.273896666576,818.5902255372042,0.319257380375311,0.003902688397834049,,0.3385140406276712
12,12000,1000,1.0,4126.671912249225,279.44207709587334,886.176460042912,832.9440611766195,871.9471346643072,818.5030521889774,0.3190526304244995,0.003915352284908294,,0.33837645418941975
13,13000,995,1.0,4041.1134328228723,279.62783952805995,886.3374978219598,832.7873707967464,871.9193344770633,818.141782254581,0.3190503309719527,0.003911883627350007,,0.3383360287052902
14,14000,1000,1.0,4002.579682470809,272.80738462135565,884.2797981884963,833.1893059106775,869.353284820001,818.0109559326228,0.31863331866264344,0.0038956472128629685,,0.33786973713338375
15,15000,999,1.0,3969.806837828258,279.19475533511627,888.4625215959618,832.9723312401474,873.7304947824967,818.1528008092749,0.3185973222310598,0.003901196716426013,,0.33785394730570323
16,16000,1000,1.0,4196.156649645974,284.8897400006002,888.8297826296276,832.8692050071375,874.8016291151196,818.5643317991135,0.3189546546936035,0.003898153007030487,,0.3381932419240475
17,17000,1000,1.0,4073.06418749401,279.903126334639,886.5704883277175,832.5839112387439,872.3114124745127,818.1674961128284,0.318827229976654,0.003908286839723587,,0.3380634113699198
18,18000,999,1.0,3931.4114980939926,273.89005687333616,885.3198641083306,832.6447256598716,870.6787173229137,817.9555592425371,0.31885152321320037,0.003907220410155105,,0.33809623093874724
19,19000,1000,1.0,3858.363231958467,268.7447645668436,884.5874179550215,832.970793275364,869.470583317938,817.8214882176997,0.3201563115119934,0.003921043336391449,,0.3394905275702476
20,20000,1000,1.0,3778.7389649768024,273.02147133686225,888.1635074582405,832.6471889153368,873.3179049547871,818.2377314678064,0.3186323163509369,0.0039042309671640397,,0.33789058749377726
21,21000,838,1.0,3917.0744856160377,283.32068759313745,893.6814507589457,833.1303083841937,879.8372257721176,820.2720066882256,0.31858785681622126,0.0039025702667122523,,0.33783934935749577
