,name,total length of time,total eps,func L2,approx err,priv err,priv loss,smooth err,smooth loss,approx time,priv time,smooth time,total runtime
0,abboip,475200.0,0.011000000000000003,2986602.5294081774,1254380.3038213039,2937683.505752796,2623616.6330374456,2662338.294267205,2333121.5626578396,0.421621173620224,0.0003364682197570801,0.01705290377140045,0.43901054561138153
1,abcoij,86400.0,0.002,11387.366197957117,5915.881768798966,20132.335582585045,18644.025469068652,17205.251994988823,15597.796758717595,0.02057778835296631,5.7056546211242676e-05,0.0006074309349060059,0.021242275834083557
2,abdremlu,259200.0,0.006,4807311.561216996,961088.7709535148,1856513.6302574058,1576478.9946797087,1934357.4727366953,1671393.1567303375,0.2014775425195694,0.00018586218357086182,0.010123103857040405,0.21178650856018066
3,abgibo,561600.0,0.013000000000000005,2086456.0563817425,1622998.8770072684,3720008.715784941,3331069.430316829,3437664.018601495,3022695.550624471,0.4588593989610672,0.0004008561372756958,0.021216318011283875,0.48047657310962677
4,abjoolaw,259200.0,0.006,5028367.516228345,789044.6656975388,1728108.3740737443,1529313.1760338182,1660703.5018200134,1458647.3345745765,0.2168453186750412,0.0001825094223022461,0.009788602590560913,0.22681643068790436
5,abmuyawm,604800.0,0.014000000000000005,5012566.654619216,1829365.4991559905,4043006.6386506506,3584585.233024615,3841878.9421259407,3370690.3183010914,0.5165922492742538,0.0004249662160873413,0.022811248898506165,0.5398284643888474
6,abniar,777600.0,0.01800000000000001,11660541.564702295,2140833.4505786207,5089077.3073555445,4589362.181290669,4625624.017463022,4085911.0877378993,0.6425592750310898,0.0005437582731246948,0.028889894485473633,0.6719929277896881
7,abnovkak,302400.0,0.007,4948372.404775424,583232.295276716,1422994.8637383059,1291232.0063100723,1365571.3260561484,1232145.2283795031,0.19160950183868408,0.00020748376846313477,0.0084848552942276,0.20030184090137482
8,abtyff,388800.0,0.009000000000000001,4776112.598516562,1196372.1122481776,2624719.5218265923,2311991.4307398414,2617402.8481102567,2322605.569908865,0.30651453137397766,0.0002736598253250122,0.014551997184753418,0.3213401883840561
9,abwecnij,432000.0,0.010000000000000002,2950593.8639603555,1210573.4809183518,2850403.6405497696,2570960.215554503,3263348.288019235,3007059.015672229,0.37229451537132263,0.00030209124088287354,0.016141489148139954,0.38873809576034546
10,acdiyito,86400.0,0.002,1875663.2799076978,194279.64142476907,557787.252019847,522792.75277256104,476119.66601559584,434606.8811071969,0.06774695217609406,6.0871243476867676e-05,0.0032240450382232666,0.07103186845779419
11,acduou,648000.0,0.015000000000000006,2034714.5047876246,1739050.0565178706,4212138.021398677,3810097.67374536,3799271.2985912096,3364611.4701105556,0.5484127700328827,0.0004536062479019165,0.024154439568519592,0.5730208158493042
12,acgerl,302400.0,0.007,2303008.7247671373,758507.3439425279,1935643.3619980463,1772734.6651608974,1732820.171914699,1554454.9989935183,0.23677408695220947,0.00021344423294067383,0.011314943432807922,0.24830247461795807
13,acitva,129600.0,0.003,5670973.867873101,317655.4832205198,804973.0409864574,733871.0651957709,721924.1255011116,646272.5641489308,0.10628163814544678,8.980929851531982e-05,0.004740267992019653,0.11111171543598175
14,acpegho,518400.0,0.012000000000000004,4896341.288133685,1288251.0963175101,3325451.1477600043,3056399.6538912267,2976979.6051188055,2678008.078264101,0.4348497986793518,0.000363767147064209,0.01937808096408844,0.45459164679050446
15,acvebr,518400.0,0.012000000000000004,2626186.145325941,1192999.3076553573,3050794.0345664555,2789165.48768847,2735583.8248442616,2453137.0213574753,0.4279261827468872,0.0003597438335418701,0.017905816435813904,0.446191743016243
16,adkavy,129600.0,0.003,5310388.711730036,308069.3126353376,842746.9296128793,783782.1196393187,745434.0651670264,678525.9607033124,0.11144988238811493,9.106099605560303e-05,0.004844114184379578,0.11638505756855011
17,adnerst,302400.0,0.007,2572501.6075600456,819568.9816990164,2025824.3555008434,1823732.3086808561,1961812.978284866,1775994.9466569526,0.25150541961193085,0.00021313130855560303,0.011606782674789429,0.2633253335952759
18,adpaifo,518400.0,0.012000000000000004,2092387.5603164216,1210368.0580777968,3300877.118560858,3064797.868298022,2871294.6389530096,2600258.9244071743,0.4358132481575012,0.0003645867109298706,0.019339099526405334,0.4555169343948364
19,aducrisi,518400.0,0.012000000000000004,2806800.4225154105,1595556.0125702182,3445120.7074769614,3033258.8744053454,3388368.8387403996,2983351.1539895744,0.4276159107685089,0.0003649294376373291,0.01934950053691864,0.4473303407430649
20,afmorc,216000.0,0.005,2465501.1358266277,506886.73196030094,1378618.3972570705,1281218.6492292539,1211498.665920077,1099878.864506839,0.17463208734989166,0.00015079975128173828,0.008064553141593933,0.18284744024276733
21,afpansh,475200.0,0.011000000000000003,2246641.8014320354,1367204.594710757,3121206.38128668,2798210.944564361,2958429.7257206915,2620027.715491296,0.40726716816425323,0.0003335624933242798,0.017755955457687378,0.4253566861152649
22,afsfat,561600.0,0.013000000000000005,4013532.202959028,1764092.8929644793,3749888.890879318,3296478.7841560184,3833130.9186266838,3390762.009045021,0.4992354214191437,0.00039380788803100586,0.020960494875907898,0.5205897241830826
23,afweka,561600.0,0.013000000000000005,7107594.544303874,1521929.7726369523,3664682.047000623,3314512.8990084403,3345237.0240717065,2971301.313086405,0.471683993935585,0.00039198994636535645,0.02097506821155548,0.49305105209350586
24,agcowktu,345600.0,0.008,2496513.182079341,919817.1648530517,2219716.312089485,2007127.7123721326,1993817.8847512193,1761953.24431269,0.30455560982227325,0.00024266541004180908,0.012682422995567322,0.3174806982278824
25,agdrea,475200.0,0.011000000000000003,4333532.5000039255,1612336.4717609358,3274393.5159958303,2823473.844501608,3312295.933480938,2885449.557793618,0.39869706332683563,0.0003340095281600952,0.017739146947860718,0.41677021980285645
26,aggjuo,475200.0,0.011000000000000003,2177821.3005416533,1429108.2421517458,3162792.216466356,2809821.4582156576,3357114.5602319767,3027457.5007612016,0.38861843943595886,0.0003339052200317383,0.017757952213287354,0.40671029686927795
27,agivle,518400.0,0.012000000000000004,5936923.293314138,1400387.7464172835,3375793.9702761993,3057982.4278026232,3128231.422905413,2792204.8613679647,0.44905705749988556,0.00036391615867614746,0.019305184483528137,0.46872615814208984
28,agjitfa,604800.0,0.014000000000000005,2971941.2052512076,1553227.9061055803,3856490.975637467,3505578.643050853,3467476.4830181883,3090101.3801183924,0.5161826014518738,0.00042353570461273193,0.02228473126888275,0.5388908684253693
29,agsuec,518400.0,0.012000000000000004,1811007.0575631668,1265140.5128863978,3263777.011474584,2991897.188374223,2927104.460256258,2631320.649367062,0.40998342633247375,0.00036229193210601807,0.01900292932987213,0.4293486475944519
30,agvexpia,216000.0,0.005,3333679.5669344105,842747.5042111927,1562965.794374369,1301540.2761234485,1726662.9891595794,1494665.8477740646,0.1773911863565445,0.0001537799835205078,0.008267968893051147,0.18581293523311615
31,aichash,129600.0,0.003,3701214.482151682,441556.2934962617,887775.3223099889,763822.9010840661,920257.9691744491,806816.4504235811,0.10088030993938446,9.168684482574463e-05,0.004871457815170288,0.1058434545993805
32,aimidd,259200.0,0.006,2160110.278967459,697702.9491065636,1693410.6173143242,1540148.531840119,1544967.4215422906,1376320.156221813,0.23269027471542358,0.00018224120140075684,0.009714335203170776,0.24258685111999512
33,ainplin,432000.0,0.010000000000000002,4942870.041729553,1184477.3997555957,2802439.936248304,2529879.13069483,2590135.1501955013,2299977.6529860096,0.36450061202049255,0.0003052055835723877,0.01617877185344696,0.3809845894575119
34,aitpygg,561600.0,0.013000000000000005,9727044.552584704,1470639.5244493124,3575853.329562325,3227883.6735842484,3248522.8429574724,2882784.6552530765,0.44509299099445343,0.0003921091556549072,0.020455792546272278,0.4659408926963806
35,aivtytan,648000.0,0.015000000000000006,5008330.827247987,1810723.5917720974,4235982.206316945,3806491.8138490007,4029720.4833449214,3586051.6528417924,0.5493143200874329,0.00045418739318847656,0.023958399891853333,0.5737269073724747
36,aiwalb,302400.0,0.007,4128958.9740376794,847675.1994026955,1993671.0119101075,1788295.2563301632,1883517.3918188259,1677838.846045355,0.23939673602581024,0.00021216273307800293,0.011293753981590271,0.2509026527404785
37,ajixdo,259200.0,0.006,2212291.4931752584,641326.4369471784,1672805.275561659,1543358.585681707,1449105.3201878981,1297788.544652949,0.2293301373720169,0.00018110871315002441,0.009651616215705872,0.2391628623008728
38,ajsips,604800.0,0.014000000000000005,2519682.0786513896,1631838.7485620964,3936886.1917711347,3566243.2792070466,3681222.200410326,3292998.7450987566,0.514984667301178,0.00042609870433807373,0.022519424557685852,0.5379301905632019
39,ajsnedsi,432000.0,0.010000000000000002,4679479.500689085,1223923.2458551552,2839874.8481565625,2545478.7957394393,2704048.098746598,2405770.7145192064,0.35283656418323517,0.0003040432929992676,0.01608140766620636,0.3692220151424408
40,ajthof,432000.0,0.010000000000000002,5241849.694030847,1083451.4011011461,2800959.2709546466,2577778.761568262,2503713.472674728,2255186.240152628,0.3785978704690933,0.0003024488687515259,0.016116932034492493,0.39501725137233734
